c Grafo convertido do formato !K7,2
c Grau máximo: 10 (10-regular)
c Chi-equilibrado: 6
p edge 21 105
e 1 12
e 1 13
e 1 14
e 1 15
e 1 16
e 1 17
e 1 18
e 1 19
e 1 20
e 1 21
e 2 8
e 2 9
e 2 10
e 2 11
e 2 16
e 2 17
e 2 18
e 2 19
e 2 20
e 2 21
e 3 7
e 3 9
e 3 10
e 3 11
e 3 13
e 3 14
e 3 15
e 3 19
e 3 20
e 3 21
e 4 7
e 4 8
e 4 10
e 4 11
e 4 12
e 4 14
e 4 15
e 4 17
e 4 18
e 4 21
e 5 7
e 5 8
e 5 9
e 5 11
e 5 12
e 5 13
e 5 15
e 5 16
e 5 18
e 5 20
e 6 7
e 6 8
e 6 9
e 6 10
e 6 12
e 6 13
e 6 14
e 6 16
e 6 17
e 6 19
e 7 16
e 7 17
e 7 18
e 7 19
e 7 20
e 7 21
e 8 13
e 8 14
e 8 15
e 8 19
e 8 20
e 8 21
e 9 12
e 9 14
e 9 15
e 9 17
e 9 18
e 9 21
e 10 12
e 10 13
e 10 15
e 10 16
e 10 18
e 10 20
e 11 12
e 11 13
e 11 14
e 11 16
e 11 17
e 11 19
e 12 19
e 12 20
e 12 21
e 13 17
e 13 18
e 13 21
e 14 16
e 14 18
e 14 20
e 15 16
e 15 17
e 15 19
e 16 21
e 17 20
e 18 19
